9.86075987,5.764120228,-12.86972426,-9.707605753,-1.261122935,3.22649858,-3.062532464,4.306152362,-4.41437532,-14.31640062,-8.281487952,1.54370337,2.733045675,2.515663098,13.0864461,7.953133993,-12.85734293,8.753061193,11.83330488,-8.447425741,14.66602391,-10.86535913,6.290123291,-6.000102329,14.4421001,-4.673711349,2.920249322,1.306851831,11.52567957,-10.27387112,-7.481579407,4.311835878,0.734060108,8.589027008,10.85156263,12.34995339,9.104925109,14.22632889,-11.35614921,-10.54608192,-10.07095789,14.95901425,0.574732785,-13.72278206,-6.16829467,-6.148708617,12.9688492,-14.73929508,9.287738273,2.709473479,-0.07394034,-4.431140863,5.847750886,13.48547103,6.687571609,-7.118171774,-0.116142637,7.400766325,6.618513474,-14.30887222,5.043793325,-0.26527391,6.741891085,5.383436662,-2.245747054,8.042568508,8.813111826,-9.002022391,8.769503155,-12.95161688,-4.415228744,1.623319119,13.78090987,1.138757084,-1.023264821,3.719383229,5.938291113,5.116621745,13.6277748,-6.943818445,-6.861489573,-8.069061009,-12.88703829,-2.6855534,2.905555274,-7.699092302,-11.66639525,11.58346189,-6.803653186,-4.894375318,11.78969782,2.982407219,-3.610598923,-3.416347522,7.508683825,-13.19532525,-9.770443998,-14.01706638,1.361110157,1.162733279,12.1506188,4.020023893,-2.899240011,-2.714079054,14.23509389,12.63906913,3.342263441,1.137488885,7.022983922,-1.180818639,7.997302455,-12.91393374,-1.867218794,-0.334508201,-6.575137925,7.094020011,10.67423138,-11.62579344,3.666818788,10.76847248,9.951123669,9.102547781,5.909211157,-11.6935481,13.87351259,3.681686256,14.88232901,12.10692511
0x27716B09,0x170E7588,0x4C856701,0x592B6966,0x7AF49C31,0x0CE7EF3E,0x73BFF77E,0x11398001,0x6E57AE00,0x46BC017A,0x5EDFC1A0,0x062CC093,0x0AEEA386,0x0A1009FC,0x34588553,0x1FD0025B,0x4C9214B3,0x23032279,0x2F554DDF,0x5E35D607,0x3AAA022B,0x5489DF4D,0x19291614,0x67FFE52D,0x39C4B5E3,0x6D4E1E9D,0x0BAE55D6,0x053A375D,0x2E1A4BBF,0x56E78E55,0x6212DCDA,0x113F51E7,0x02EFAD73,0x225B29E5,0x2B680008,0x31665A2E,0x246B717C,0x38E7C2C2,0x52934DA0,0x55D0CFE7,0x57B756D1,0x3BD607D4,0x024C86C0,0x491BDF05,0x6753AA90,0x6767B8EE,0x33E01A01,0x450AF63B,0x2526A4DC,0x0AD68037,0x7FB448FC,0x6E468303,0x176418CE,0x35F11F51,0x1AC012C5,0x6386FDFB,0x7F8911E8,0x1D9A627C,0x1A795B98,0x46C3B701,0x142CD828,0x7EF05C0A,0x1AF7B24B,0x1588A39E,0x77045AE3,0x202B9714,0x2340A062,0x5BFDEDD8,0x2313F8A2,0x4C318B59,0x6E56CE47,0x067E475D,0x371FA6D6,0x048E1656,0x7BE82D45,0x0EE0A5FF,0x17C0CF62,0x14776BB0,0x3682D765,0x643987A9,0x648DD5AE,0x5FB94813,0x4C73AC3C,0x7541FE4B,0x0B9F49E1,0x61342126,0x51559C7C,0x2E557708,0x64C90F24,0x6C6C28E1,0x2F28A68B,0x0BEDFC28,0x718EBF28,0x7255A8FF,0x1E08E469,0x4B37FCA9,0x58EB10BB,0x47EE8627,0x0571C6DC,0x04A6A38D,0x309A3BD0,0x10148124,0x74672DA1,0x7524C876,0x38F0BC74,0x328E6823,0x0D5E7A4E,0x048CC9E2,0x1C178918,0x7B46D77B,0x1FFD3CDA,0x4C5821C2,0x7887F7CC,0x7EA976AF,0x65B30F0C,0x1C6046C8,0x2AB269B5,0x517F3001,0x0EAAD28B,0x2B12EA73,0x27CDF35C,0x24690249,0x17A3083F,0x5139CE88,0x377E7A15,0x0EBA0BF6,0x3B878141,0x306D7DC6
13.48183235,-12.79269499,11.96201595,-0.643105253,-6.703681809,-12.25581109,1.619161711,-6.917178421,4.657643788,-14.62205844,-0.139242242,-3.726383231,0.782916018,-9.318695897,13.60380174,2.226024827,8.544246575,2.680231445,13.05031872,4.922838867,14.29653151,-10.55052963,11.27303728,1.0104828,-13.72151084,6.748490914,7.670088575,5.979127454,-14.545269,-8.556392797,-3.920965794,7.273906094,0.411010474,10.11632211,4.29477091,1.292846251,10.29584569,6.279175678,-0.985389276,1.46491443,-11.56728246,-0.557036344,-10.74580462,-14.48461108,0.949432608,-2.391994599,-9.371765087,-9.858389575,0.41996144,6.448269281,-11.38027871,2.734064152,-5.39358524,11.90036009,10.14075884,-11.4446948,3.822937819,-10.63741254,6.360861138,-6.968241899,7.924800705,-12.0188551,10.11249719,-9.048237868,-11.52542629,0.443587984,1.578791324,0.28443818,-8.320406034,14.56668652,-13.11449491,-10.77197508,-4.290604321,4.290528904,-7.370021385,6.983165792,3.489816283,-13.35213936,-13.00645081,-10.14840633,13.53237023,-14.3812395,7.985390709,11.23966226,-3.039341237,14.98626715,0.379756412,4.853289834,-2.697425839,-12.22584156,10.45917006,-1.734400072,12.28644595,14.19554565,-3.19291022,3.896418883,-10.57935038,-1.325130087,0.594321042,-2.483079881,-12.1041614,8.824294885,11.08513244,5.309326673,2.983688517,5.312349361,-10.09423992,-14.88051543,-7.65995686,-6.435721442,-9.21350073,14.81496016,9.504546093,11.99555185,14.9115929,-9.683702143,5.500940923,14.24176731,-3.956534317,4.883838467,5.382902792,-10.41830365,-5.563476871,-3.526602452,12.15737052,11.64993628,2.154753235,1.538759324
0x35ED6575,0x4CD447C4,0x2FD91AB5,0x7D6D75D2,0x652F6E0A,0x4EFA0CA9,0x067A0587,0x6454CF2F,0x12A16D5F,0x4583031D,0x7F716A7C,0x71182EFF,0x0321B4BC,0x5AB9A7C9,0x366A4B00,0x08E7730D,0x222D4EF9,0x0AB88E97,0x343386C0,0x13B0FCAC,0x392FA5F4,0x55CC41F6,0x2D179715,0x040ABC00,0x491D2C44,0x1AFE7466,0x1EAE2BB3,0x17EAA063,0x45D1A501,0x5DC640F8,0x7050EE58,0x1D187AD6,0x01A4DFED,0x28771D24,0x112DD86C,0x052BDFE3,0x292EF22B,0x191DE03A,0x7C0EF61E,0x05DC1287,0x51BB1A4F,0x7DC59844,0x55044BCC,0x460FC21E,0x03CC380F,0x766E98F8,0x5A835004,0x58910253,0x01AE0A5F,0x19CB071A,0x527A9838,0x0AEFAE83,0x6A6CF7FE,0x2F99F7FE,0x28902315,0x5238A1EE,0x0F4AB036,0x55734A21,0x19718595,0x64208533,0x1FB2FEF4,0x4FECB140,0x28733276,0x5BCE9ABC,0x51E5F6A7,0x01C63BED,0x0650AEAC,0x012343C3,0x5EB7E77C,0x3A444978,0x4B8AC1D9,0x54E97F5E,0x6ED66BD3,0x11298068,0x6285191E,0x1BEEC303,0x0DF59266,0x4A9768C8,0x4BF964F6,0x5768082C,0x362125A9,0x46799C5B,0x1FF10A43,0x2CF56A06,0x73D7B6EF,0x3BF1F004,0x0184DEDD,0x1369C4CF,0x7535D601,0x4F18BCFE,0x29D630AC,0x790FF96E,0x31255216,0x38C83D1E,0x733A75BF,0x0F95EED4,0x55AEBEC7,0x7AB3111A,0x026095B1,0x76115382,0x4F9556B7,0x234C13F5,0x2C572CF5,0x153CC021,0x0BEF4C0A,0x153FD882,0x579F7F93,0x447A5A2A,0x615C3445,0x6641D23D,0x5B256011,0x3B4284EA,0x2604A7BB,0x2FFB71F1,0x3BA5789B,0x5943E396,0x1600F6A8,0x38F791D9,0x702C8245,0x13890CF3,0x158817AB,0x5653A836,0x69BEFFEC,0x71E4C254,0x30A125BC,0x2E9988E5,0x089E77A1,0x0627B086
7.991871283,9.266195051,11.70592122,4.849253628,-2.55255651,7.921413153,1.462586953,9.681760219,-9.93922409,5.449341003,12.50879534,-1.403705358,-7.18225858,-5.046086101,-1.481198867,9.790683273,-6.478157725,11.15199331,6.553716688,8.620787673,3.306226374,1.474555638,-3.067639505,-8.61636626,-9.930823437,6.45437721,4.39639219,-5.908223819,5.466482296,10.33986646,-1.180308897,-8.481402469,-12.07312202,-1.374770887,10.24514654,-12.32469421,2.726980209,-8.688993747,7.98150143,-14.04153348,9.822341588,-12.97039313,-10.41323963,-4.620753253,-5.744582306,-10.58147495,4.025609684,1.784399902,8.999275086,-0.137128434,-13.51710756,-5.237429856,-4.796854998,-4.027167662,2.807485453,2.863432397,-3.673277419,5.351665812,8.68961065,-14.29579299,4.0983534,-4.581929846,3.317577254,-10.53683159,6.447032674,13.41839589,5.960678412,0.474824408,7.040269293,2.092522591,-4.224543134,-0.335803735,2.769971475,4.596586184,-13.16553399,-14.51089492,-14.95676274,-2.609302207,-7.208263683,1.747243812,0.986360302,7.913691703,-10.69676896,-13.57685825,-9.898474222,9.844947566,-2.385925428,-8.1489342,-7.537067465,0.203300468,-3.883962666,4.600822637,8.035963507,0.605566761,-4.706365873,12.11455199,-2.61361746,-6.361664304,-12.79736811,-8.490515276,0.369028053,-7.421958586,13.62588851,7.535193425,-9.247172238,-10.89320218,-4.737923141,7.104879951,7.205769049,-1.421828595,7.800308998,-8.469182106,10.40836491,-1.002075219,-12.8344778,13.07429402,-1.56555153,9.832835226,9.601755932,11.63916656,14.3382006,6.754692512,-12.56168847,10.56182173,14.71745942,2.751557019,-5.017881579,-5.534784865
0x1FF7AD1B,0x2510956F,0x2ED2DD03,0x1365A2BE,0x75CA2EA1,0x1FAF86EE,0x05D9B064,0x26BA1F59,0x583E3C0B,0x15CC200C,0x320901A5,0x7A629B11,0x63455E02,0x6BD0CECF,0x7A13409B,0x2729A8E0,0x66165DD3,0x2C9BA422,0x1A370181,0x227BAFC3,0x0D399368,0x05E5F1E9,0x73BABCB6,0x5D88D749,0x5846D639,0x19D14842,0x1195E7D5,0x685DFA94,0x15DDAD88,0x295C05F4,0x7B475D1B,0x5E130B3C,0x4FB51F81,0x7A803C10,0x28FB07B1,0x4EB3835D,0x0AE86D7F,0x5D3E786D,0x1FED0EB5,0x47D57840,0x274A13E9,0x4C1E5144,0x5658D7B7,0x6D845943,0x69058C38,0x55AC91D5,0x101A396C,0x072339BA,0x23FF41F7,0x7F73949B,0x49EE7B5B,0x6B0CDF31,0x6CD0053F,0x6FE42E2A,0x0B3ADD77,0x0B74279F,0x714E905E,0x15681B15,0x22C2294B,0x46D11BA5,0x1064B6C0,0x6DAC1A96,0x0D4532F8,0x55DA48D2,0x19C9C2EE,0x35AC6FF8,0x17D7BC14,0x01E6385E,0x1C293C5A,0x085EBE3D,0x6F1A115E,0x7EA82311,0x0B147367,0x1262E77D,0x4B567E43,0x45F4D7F7,0x442C4664,0x75901316,0x632ABCED,0x06FD2D7B,0x03F2086F,0x1FA79ECC,0x55368233,0x49B14C13,0x5867F660,0x276139EF,0x7674CFF7,0x5F677DCC,0x61DA0AFD,0x00D02DFF,0x7076D27E,0x12673E0C,0x2024D39E,0x026C19B1,0x6D2CAE6D,0x30754D1D,0x758BA7DE,0x668DA7E0,0x4CCF7EBC,0x5E09B65E,0x0179E27D,0x624FEA17,0x3680E8EA,0x1E2409BE,0x5B02E548,0x546D5C69,0x6D0C5DE1,0x1C6B65A6,0x1CD2B51F,0x7A500C2B,0x1F338433,0x5E1F8EBA,0x29A22A69,0x7BFDDFFF,0x4CA97EA8,0x344C13BB,0x79BCE010,0x2754D2C1,0x266832B4,0x2E8E81AD,0x395A5141,0x1B04CE1D,0x4DC0D4BD,0x2A3F4E31,0x3ADEADAE,0x0B019829,0x6BEDB074,0x69DC615C
10.79179392,14.42350272,-1.433913546,5.809660444,-11.58343491,14.87576636,12.56754449,-9.675648225,-11.60771482,-8.441137894,0.744423126,-12.06397391,1.701483898,2.223668932,14.5703316,-3.630020846,-2.147951829,-3.610348983,10.63114508,2.846010525,-14.43098075,5.624147981,-7.690630768,3.879207107,8.864144803,-14.03074069,-1.30273412,-13.8055794,1.764566831,13.46216807,4.137738745,3.046120303,14.48094782,3.591143254,0.086111151,2.593342051,-10.72525697,-12.94294746,6.885923375,8.198086176,10.02563633,-13.86920471,-14.42181618,13.09268026,8.276105022,-14.2014371,10.28752179,5.668382445,-6.130890243,-1.481647055,-14.3095981,-6.300610918,-5.722539966,-14.43078631,8.454006743,4.052111594,6.497463031,7.344394538,1.537301188,3.386316585,-2.942569873,-7.669567253,8.637727754,4.248378519,0.539930906,12.90325873,-12.57995061,6.74208018,-13.51229355,-14.13106236,6.878841533,4.293202008,11.09402894,8.426455441,-5.45781212,3.453051547,-1.067574665,-11.56851411,-1.832559313,-3.965746767,11.62946762,2.076173013,3.005895497,-14.69779727,-6.339056443,-6.700442244,1.454016333,7.804135683,0.285311612,-0.384687778,4.059541508,-6.128898229,9.295315086,12.17834566,-13.86905112,3.263947832,-10.24513651,6.580496483,9.450411203,-8.120944506,-11.57470354,-6.032211121,7.260086081,0.042538776,-3.411952263,-7.073130927,8.180560922,-0.204875313,9.691857062,10.5107579,-0.014229771,-7.482710057,-7.425040252,-5.808588187,-3.857506571,4.057846542,14.71464988,-6.313423185,-11.04701563,-5.942069386,14.63809333,14.56646438,2.129210532,-4.759398115,-10.60791998,-3.69005743,-5.631477765,5.762291599
0x2B2ACC06,0x39B1AAB2,0x7A43AC2B,0x173D17A0,0x51AA900A,0x3B80C8E5,0x32452A62,0x594C22E0,0x5191B335,0x5E3C465A,0x02FA4A0E,0x4FBE7DA0,0x06CE51CB,0x08E50977,0x3A480501,0x717ADBD1,0x77687F51,0x718F00AE,0x2A864AE5,0x0B625095,0x4646ACFC,0x167F20A5,0x613CCB4A,0x0F844EDE,0x2374E260,0x47E08584,0x7ACA0012,0x48C71632,0x070EEA9B,0x35D94295,0x108D0B62,0x0C2F3A29,0x39EC7D96,0x0E5D54A8,0x00582D85,0x0A5F950F,0x5519563D,0x4C3A6BFC,0x1B8B2F7F,0x20CAD71A,0x281A4068,0x4885EF34,0x46500F6C,0x345EE793,0x211ABB46,0x4731BA79,0x29266C1C,0x16AC6C72,0x6779F7E9,0x7A12CB1E,0x46C2F8B7,0x66CC2CA7,0x691C1E7C,0x4646DFF5,0x21D0E724,0x10355CBD,0x19FD66F2,0x1D60A8F6,0x06263248,0x0D8B9693,0x743ACEF7,0x61525CF7,0x228D0881,0x10FE56F0,0x0228E3A5,0x339CEFDB,0x4DAE216E,0x1AF7E3DD,0x49F36952,0x4779CACA,0x1B83EF08,0x112C3D25,0x2C60491F,0x21B4B0BC,0x6A2B334D,0x0DCFECBE,0x7BBACDB6,0x51B9D770,0x78AB7593,0x70231348,0x2E849328,0x084E004C,0x0C060978,0x453574A2,0x66A4CE64,0x6532BF45,0x05D0E9A8,0x1F376F58,0x012428BA,0x7E761469,0x103CF872,0x677C021B,0x252E6713,0x30B6A03E,0x48861777,0x0D0E4857,0x5704FAF0,0x1A526DAB,0x25CD3898,0x5F842720,0x51B380EA,0x67DF040D,0x1D0A5401,0x002B8F48,0x725A2930,0x63B51D2B,0x20B8E4F6,0x7F2E352B,0x26C4762D,0x2A0B041E,0x7FF16DC1,0x6211B475,0x624CC240,0x68C40176,0x7091E9CD,0x103B3C1F,0x3ADBCD2D,0x66BF0DFF,0x53CFDB23,0x683B522A,0x3A8D6856,0x3A440F3D,0x08844FC4,0x6CF66058,0x55917D6D,0x713D6196,0x69795DE5,0x170C962B
-3.057025307,14.03948088,14.31955817,7.326880194,-14.93039042,9.195953769,-5.80481624,14.62036219,-12.33617479,-9.866691669,-9.858815909,11.22141573,5.002637975,-11.006772,-2.989895261,8.842331583,6.825983576,0.305401484,8.626712145,4.948573526,8.517358998,7.340943694,-5.599437103,-9.806341278,-6.832314759,-10.23110355,-4.710442171,-10.5005346,-13.44585878,4.807262057,9.076599059,-6.060688637,2.211943916,3.435711391,0.361212254,10.4368729,-13.92095452,5.986534103,13.88452275,12.97066174,5.408766704,-11.70077085,-1.652499891,-5.817658563,-1.777646002,7.610845862,-0.217232048,5.038027316,-1.529713593,1.25987394,14.27115324,-7.765683901,-6.822789814,7.211361352,11.77961693,-11.02255055,-13.002671,-11.5982495,-14.07447327,-14.99222458,5.607259024,5.179232917,3.963482244,14.9851087,-7.065367865,-9.087767956,-10.1382952,0.593701191,12.51904727,-2.751133404,-14.46768496,-9.386891159,13.36832453,-14.58569855,-7.768376877,-1.469348784,-9.201449996,-5.743787388,9.875388138,-6.676335851,9.316316888,-9.209388456,0.45411952,-2.177126224,-4.245210219,9.918927832,-14.219414,5.326338197,4.316541327,2.530909424,6.305345716,-6.839377729,-8.55952089,8.234852145,-0.474752505,-3.569073792,2.876236813,3.827974345,-3.632103474,5.255186242,0.675244704,-11.1723966,-10.45907647,-3.181004137,-13.36484538,-12.82889427,-9.444425493,10.83517774,-11.98431535,13.26937461,-9.731136603,12.2804209,-3.49342917,-11.95453222,2.890862228,1.21586657,-7.400663036,-14.20982588,3.837860954,11.67596153,10.4384137,-12.58007326,5.259655203,-5.312347887,4.716809307,-5.010282277,-6.058329531,13.92098516
0x73C59B29,0x38286DAD,0x39473A41,0x1D4EB9AE,0x444747BC,0x24C8A81A,0x68C7DE41,0x3A7B4039,0x4EA7C1CC,0x588881FB,0x58909290,0x2CE2BACD,0x1402B387,0x53F910C3,0x740A58E6,0x235E8C2B,0x1B4DCEA3,0x0138BB2A,0x2281C0D4,0x13CB56DB,0x2211C68E,0x1D5D2058,0x699A2D29,0x58C64E79,0x64ABB5AF,0x57135998,0x6D2881D9,0x55FF73DC,0x4A3770CC,0x133AA2E7,0x244E6FFB,0x67C1DAD7,0x08D907D3,0x0DBE2B20,0x0171E1A0,0x29BF5B9C,0x4850F14D,0x17F235FE,0x3789C055,0x33E1F527,0x15A293BD,0x51326921,0x7963D712,0x68BAB7B7,0x78E3B0C5,0x1E718193,0x7F218DED,0x1426F0A1,0x79E192C3,0x050A1C64,0x3915A932,0x60EFF090,0x64B57697,0x1CD86F1C,0x2F1E53E6,0x53E8E883,0x4BFD43D0,0x519B647C,0x47B3BD48,0x4407F648,0x166DD54F,0x14B788D5,0x0FDA9B16,0x3BF0C055,0x63BD1035,0x5BA62029,0x577262BF,0x025FF334,0x32138120,0x74FED6E3,0x46211732,0x5A73D2CE,0x35792A10,0x45A83EA4,0x60ED2E9D,0x7A1F6309,0x5B31B718,0x69065C9A,0x278065BF,0x654B6E9E,0x2543E893,0x5B299613,0x01D104B5,0x774A9F6D,0x6F04E79D,0x27ACFB6A,0x471F51F0,0x154E2B99,0x11442368,0x0A1FA6B8,0x1938AC8C,0x64A47A2B,0x5DC30CF5,0x20F07D14,0x7E19DA7B,0x71B944B9,0x0B814439,0x0F4FD881,0x7178B9DE,0x15054F8A,0x02B37359,0x534F7744,0x5629E7DC,0x7346A6DA,0x4A8A65F9,0x4CAF3658,0x5A38E887,0x2B5738D5,0x50100FA3,0x3513D6EF,0x591350EE,0x311F26A7,0x7206BA81,0x502E8F1C,0x0B903E30,0x04DD0C20,0x6265B897,0x47292368,0x0F59F838,0x2EB42F42,0x29C0EF85,0x4DAE0147,0x1509E30D,0x6AC027E1,0x12DE0342,0x6BF57891,0x67C44544,0x37AF16BB
-8.651206475,-2.004904415,11.68664924,3.485292341,-4.984617452,14.48549499,-6.029212623,9.118528632,12.23389767,9.830032694,1.763944875,1.435636865,-1.835162981,-1.522488713,2.2139205,14.56335031,-11.22615135,5.318091068,-14.58032921,-8.496308873,10.28632342,-4.884135783,13.56367282,-5.456133691,3.841660756,0.945495473,-6.111844576,1.927451187,1.068934637,12.83359109,-14.55032555,14.92990254,-11.42053729,14.61335405,-3.105334637,13.22246163,-1.112048909,7.182039567,6.500686367,-14.27595383,-2.006760865,-11.95307824,0.183687996,-1.936235167,11.87599824,-12.05906736,12.47370635,-11.10356932,3.288813964,-11.21055019,10.78261282,0.434962276,-6.460160953,-12.53522553,-13.06462268,-12.88109723,1.142225155,5.075905389,9.101389316,2.956891838,-12.75275187,9.233134717,13.30949151,3.820149479,4.622599835,-0.209362202,-7.034775028,-2.220364715,9.380894501,2.533071222,-8.693405075,5.363670472,3.409333707,10.18885439,-5.6860692,-4.242190881,-4.91729381,1.345770253,-3.559095273,10.31253846,-5.370759206,-1.820827663,0.257981087,-12.45046962,-14.05564412,-2.580178275,-7.070467061,-14.7722705,-5.759551713,-11.51558398,-1.899496713,-1.424089059,2.494735409,-12.28172018,7.199611806,11.28265662,-13.66053069,-0.014145272,-8.228266713,4.402808708,1.847338907,-12.59977687,-13.77157295,-6.060313561,8.827919481,2.543770993,5.199664931,-10.91774706,-10.26414119,10.79939161,-12.70457947,-13.58933496,-9.242916048,0.446457111,8.220896647,12.55404978,-1.606765812,12.71808995,-11.71931835,-12.59775665,-1.77594366,-9.549278952,-12.20747394,-8.202895237,1.596995869,-5.843749228,5.265224811,-10.14050942
