-3.629273597,3.558515921,13.42199145,-13.80628,-1.098956807,-0.178675548,-2.178046312,11.08008814,-9.16730913,-14.3087681,-8.073749093,-0.028209806,6.856557289,0.332597453,7.444256409,-11.50542424,-13.50841251,-6.197402636,-0.454532397,-8.637976331,-3.211911253,-1.256872127,11.50777834,9.606408013,-14.16214093,-5.253031402,4.595785701,1.811873452,7.191634378,-0.592031393,-0.361091426,-14.40813707,0.540346719,-11.26527142,-2.21594618,-9.208861825,2.155849546,14.76604727,3.659952302,13.88808551,7.319741881,-9.798123845,0.133570628,-4.051551765,-13.43692557,-3.968682707,-2.147648373,-13.00794616,-7.831087135,-11.33805173,12.732634,-2.376452172,-9.169485945,7.536648414,5.083747191,-10.97937598,-3.997888093,4.03366373,-12.9256259,1.398811596,-4.936500982,8.815456985,-11.74985469,-4.454119565,5.91798459,-4.709954421,4.344951523,-10.03338297,4.226271638,11.19390892,13.50804227,8.435153513,6.41940808,-4.940536429,-1.251268897,6.535240646,11.97569749,-11.20161328,0.847391227,-9.002875227,-2.752437223,-4.131704656,-3.22638653,-11.39187444,11.01810294,3.946626455,-4.662759445,4.646851274,12.76078717,-2.081609576,-4.384157801,12.9332894,-10.94955332,-12.13111391,1.749856375,6.712796207,-2.534944848,7.116100141,-11.58629986,13.87946224,9.652019717,-12.33591298,-0.954558144,-10.45857518,-9.604176836,4.86459808,-1.942574958,10.55522854,1.30924254,7.776390906,12.42314344,-7.179581996,-3.082722894,-9.394418555,9.953554016,-0.976862965,-6.487244199,8.917910147,9.407923248,7.501648975,0.814423203,3.056312569,-13.72596523,-10.06641523,-3.463636881,-9.77349945,13.98623861,-9.547165214
0x717B9FB4,0x0E3BEB99,0x35B01E86,0x48C65E8A,0x7B9AAB12,0x7F490947,0x7749AE3B,0x2C52029F,0x5B54ACEB,0x46C3D24C,0x5FB47B1F,0x7FE31CF8,0x1B6D1D5A,0x0154946D,0x1DC6EB26,0x51FA7212,0x49F762B6,0x6735DC16,0x7E2E8F10,0x5D72B656,0x732700BD,0x7AF8F684,0x2E07F70B,0x266CF638,0x4759F7BB,0x6AFCE557,0x126215A5,0x073F5BC1,0x1CC43BCD,0x7DA1C286,0x7E8E3E0D,0x465E1151,0x022950A6,0x52F05CB1,0x7722DF02,0x5B2A2021,0x089F9705,0x3B106EB2,0x0EA3CA89,0x378D664A,0x1D476A6A,0x58CEB8A0,0x0088C6BD,0x6FCB3604,0x4A409696,0x702011A4,0x7768CEDE,0x4BF7DCF7,0x60ACF77F,0x52A5D5C5,0x32EE379B,0x767E8353,0x5B527247,0x1E258729,0x1455C1D2,0x54151E77,0x700229A0,0x102278BE,0x4C4C28BA,0x05986211,0x6C4105E3,0x23430727,0x51002618,0x6E2EFB48,0x17AC0426,0x6D2901B6,0x11613AF8,0x57DDD0DB,0x10E7B3C0,0x2CC6900F,0x36083C3B,0x21BD98E1,0x19AD794F,0x6C3CE405,0x7AFEB35E,0x1A24161F,0x2FE71D3E,0x53318C4A,0x0363BA86,0x5BFD0E47,0x74FD8119,0x6F79226B,0x73182E22,0x526EB878,0x2C128994,0x0FC95872,0x6D595597,0x1296602E,0x330B0BCB,0x77AC6E8B,0x6E769F57,0x33BBB037,0x5433A84C,0x4F79BD47,0x06FFDA59,0x1AD9E73F,0x75DC376B,0x1C76E2F4,0x51A7A103,0x378491C0,0x269BAB0E,0x4EA8066E,0x7C2E8850,0x562A6B45,0x599552AB,0x13755932,0x783ACDA2,0x2A388DD4,0x053CAA13,0x1F1B0637,0x31B14C83,0x63481BA9,0x73AB4AB1,0x5A6C1D8B,0x27D07076,0x7C17B13D,0x660D0FDC,0x23ABF0A3,0x25A1B6A1,0x1E01B044,0x0341F827,0x0C39AA00,0x49189C93,0x57BBFDA6,0x72253C60,0x58E7EFC3,0x37F1E888,0x59CFB3ED
-5.325777037,-2.818133533,10.24058855,-1.949957861,-9.797438576,13.22585672,-2.96357504,-1.779509853,2.444319964,-8.818782572,7.330692424,-12.83490612,-9.639287594,-4.151514986,-10.04344858,0.934825297,-6.829166767,2.093130563,-11.90697181,7.040376769,11.12049837,-11.16104046,-6.775262029,0.244088283,14.06813564,2.084495159,-14.266692,6.583359615,11.47700685,-11.58663455,-5.796828759,11.39917856,14.64115542,-3.253649853,0.387914833,-5.024168372,-2.662938733,-11.76369337,0.234497657,14.17882148,9.942807765,-4.156616226,-12.85252564,-13.1798548,8.132322144,-4.276511172,-6.043774166,11.62463035,-8.389173632,-5.327601194,-10.02005215,4.660171894,-4.722778105,9.495494636,10.5635941,-1.532519571,14.87847653,-4.880445737,-6.477468135,-11.53062463,13.52294211,13.74844052,-10.44365666,-11.81806039,13.99463626,-7.81068666,-4.501850917,6.877577316,1.563075458,-7.492231957,-0.22537233,-14.00571648,2.544435629,-6.797256877,-9.163833095,-4.194708568,-1.754524144,-3.208418952,-12.31329248,-2.595281878,3.488071325,2.255594593,-14.34453217,11.54675539,4.487816251,-0.564984505,3.847575114,10.27389631,-3.078248831,-8.586134178,4.790926772,-0.262543349,-0.291768705,6.507516547,-3.858548756,-3.809648295,-1.718627361,-6.41898881,3.518954933,-14.48217442,11.29109419,5.901005864,-13.59973798,9.286911166,-3.461929379,-13.16316998,1.476739234,-10.66842473,8.248926428,-1.344777907,-5.775557338,-6.477961852,14.71984371,-12.22907417,9.076854022,-9.287406441,1.009210668,-3.514052052,-5.862363159,-11.14879807,-8.687454854,-13.02738934,-12.97989214,-10.98646595,14.45809944,-9.629192067,10.8177483,5.848445189
0x6AB26782,0x74BA3B34,0x28F65CD7,0x78333E40,0x58CF6C44,0x34E746FB,0x74254C96,0x78E1C82C,0x09C6FBD0,0x5CB99110,0x1D52A108,0x4CA90E5F,0x59715E98,0x6F64D942,0x57D38238,0x03BD42D7,0x64AEEEE9,0x085F5D9E,0x505F42C8,0x1C295887,0x2C7B63EC,0x535B1836,0x64E621B6,0x00F9F247,0x3845C559,0x085685E6,0x46EEE84B,0x1A555C39,0x2DE8747B,0x51A74947,0x68D00C20,0x2D98C243,0x3A908B0B,0x72FC4337,0x018D398B,0x6BE74069,0x75592697,0x50F1FA5E,0x00F02027,0x38B71CFA,0x27C56F66,0x6F5F9FFF,0x4C970385,0x4B47D425,0x20877F74,0x6EE4DA42,0x67D32CDE,0x2E7F9F19,0x5E717C78,0x6AB08951,0x57EB7774,0x12A40419,0x6D1BE00F,0x25FB62F2,0x2A411ECF,0x79DEB331,0x3B838F59,0x6C7A6C6F,0x66171298,0x51E0A3F1,0x36177E22,0x36FE6730,0x5639B212,0x50BA4E61,0x37FA81ED,0x60C1DB5C,0x6DFE1ACC,0x1B82A3A0,0x064096DA,0x6207F459,0x7F1937FF,0x47FA2576,0x0A2D8088,0x64CF9BE5,0x5B583C24,0x6F389E52,0x78FB5E06,0x732A9439,0x4EBF3042,0x759E6E6E,0x0DF3C8F8,0x0905BA96,0x469F32F6,0x2E2FE0A4,0x11F3861A,0x7DBD74B4,0x0F63EABB,0x29187846,0x73AFDF8A,0x5DA7CC72,0x1329E8B5,0x7EF327D7,0x7ED53A96,0x1A07B26A,0x7090D899,0x70C2EB8F,0x79202027,0x6652F499,0x0E1368EC,0x461240DF,0x2D2A1498,0x179AA148,0x4999DE4A,0x2525CC0A,0x7226FBFD,0x4B58E9F8,0x05E82E54,0x55538878,0x20FEE691,0x7A9EF28B,0x68E5D44D,0x6616912C,0x3AE11EB5,0x4F156D95,0x244EB2D2,0x5AD9B221,0x04096E85,0x71F19C57,0x688CF0AD,0x5367A17B,0x5D400BD6,0x4BE3F40D,0x4C149728,0x540DDBDF,0x39D51804,0x597BB514,0x2B455FCF,0x1764CED0
11.32666188,7.516918342,2.847312571,6.736333873,10.27661672,8.071712856,11.06631243,-14.14232054,0.740911789,2.990765627,-11.50175023,-8.69754956,-12.73342079,-6.605447896,-6.075751768,-0.553604939,11.04114706,-10.37398787,-14.85920871,4.394094205,-12.12478008,-13.30665595,-6.706183331,6.606968945,-1.867587669,-8.381564323,-8.096103751,4.993505178,-4.508007187,-3.274069414,-8.706463168,13.92400073,14.08809403,6.800606109,-12.72477737,-0.700528815,-0.604279361,7.6512924,-10.0687187,5.937138454,13.07998552,8.953235149,-14.87184942,-8.568922745,-12.82278546,9.710420726,13.39921906,8.580565301,9.656561412,-0.602315452,2.217051151,1.620593549,2.903763459,0.188110395,4.078512798,7.974768404,-1.691115722,11.67968647,13.57193846,-7.664609324,4.784481645,8.076804542,14.59816306,-8.033223268,3.676261449,-8.344090852,-10.6116901,12.73724426,9.427046403,-8.957537953,-4.764789335,-4.396987269,-14.63436121,6.786655417,13.14089279,-8.164406159,-12.76334497,5.808605939,-3.326302514,5.360357122,2.95113586,6.062883186,14.33979328,4.379168708,-1.275715091,5.2264181,-10.61951527,-11.22144535,14.77173936,9.853785662,14.89482324,9.377740716,12.38204322,-9.363484144,-6.170088117,3.141118825,7.409012349,-14.07049202,3.957561584,13.87721184,-14.18139355,3.57251947,7.941290662,-3.104611901,-10.51895518,13.1976056,-11.13032367,2.327973959,-10.1573873,7.935505659,-10.77183926,12.24489349,11.16449607,10.78186279,0.301517291,13.42018793,-11.71268813,2.657708694,-9.253000495,-10.88846424,-3.600951528,-12.12159643,6.896636056,-9.508010371,6.713791676,-5.423139685,-3.415119772,12.39370128
0x2D4E8073,0x1E11530A,0x0B63A5E8,0x1AF20181,0x291B4169,0x20496F18,0x2C43E767,0x476E4387,0x02F6B194,0x0BF68B43,0x51FE3531,0x5D35B592,0x4D10FA24,0x65940578,0x67B26E21,0x7DC91BCA,0x2C2A2274,0x56810953,0x44902B98,0x11938D6E,0x4F8039A7,0x4AC5FBFC,0x652CDE47,0x1A6D8944,0x7887971A,0x5E794734,0x5F9D96FB,0x13F9596B,0x6DF7CCF7,0x72E75A59,0x5D2C94EC,0x37B22D3F,0x385A3552,0x1B33D216,0x4D19D3F7,0x7D32A894,0x7D9537CB,0x1E9AEC65,0x57B9A1CF,0x17BFA139,0x3451E7B9,0x23D01CDF,0x448339E8,0x5DB96C51,0x4CB577BB,0x26D77887,0x3598CCE1,0x22527FB5,0x26A051A2,0x7D973A9F,0x08DE42A8,0x067B7CE0,0x0B9D742B,0x00C0A002,0x105065A8,0x1FE629B0,0x793C4C29,0x2EB7FFBB,0x3649AA3C,0x615770A8,0x13234F28,0x204EA5D9,0x3A6484DB,0x5FDDFAB9,0x0EB47DE1,0x5E9FA6A6,0x558DA11D,0x32F2F028,0x25B54BA6,0x5C2B7B2C,0x6CF0DB11,0x6E697C2C,0x45766A04,0x1B2588FF,0x34904633,0x5F57A5EA,0x4CF255B3,0x173C0331,0x72B1DDC1,0x15710175,0x0BCDF68F,0x18406473,0x395BF2C5,0x118444CD,0x7AE5AAF2,0x14E7DA25,0x55859DCA,0x531D3D6E,0x3B1642D7,0x276A46C9,0x3B944C8B,0x2582CE76,0x31873656,0x5A8BCAD1,0x6751D46C,0x0C908174,0x1DA2D422,0x47B7D0F1,0x0FD48B06,0x378243D2,0x474640C6,0x0E4A428B,0x1FC3E1B3,0x7394E09F,0x55EC9704,0x34CA591F,0x537A8C6F,0x094FD867,0x575ED5DD,0x1FBDF532,0x54E9A2F8,0x30FAC55C,0x2CA871A8,0x2B20A0A3,0x0134C0F2,0x35AE45BE,0x51263515,0x0AA17E63,0x5AFCED71,0x5472366E,0x7198A02A,0x4F837C3A,0x1B9627C3,0x59F7CC22,0x1ADAEC34,0x6A4EB479,0x7256EAD8,0x3193266D
7.96528759,-11.97562045,1.558247227,-4.769108797,-13.27268042,-11.31886213,2.943359899,8.496045975,-13.02717249,-11.64750414,-7.000143927,-12.55084813,-14.3934852,-13.4425293,-8.312405236,6.131270241,-6.391973214,0.628257405,-0.929417321,-3.281507677,-1.218807823,-6.211402228,-13.04760593,3.250374257,0.318399768,-13.29883887,12.5277781,4.143029297,14.03790954,7.437550386,9.540466232,-1.566666344,0.999773392,-2.38733924,-8.85403932,12.18855844,0.973065465,-5.699881809,-3.327110998,-12.76785141,1.973650142,6.54113309,7.227160186,13.2991618,6.391908153,-13.3843382,-7.562102161,4.302520559,1.761490916,10.67468743,7.179798712,4.578137667,12.39832116,14.10294071,13.52402963,7.263439333,1.952061623,3.142553659,2.838273649,5.216497306,-7.72990856,12.86528542,-3.370867155,12.40828484,-10.44604841,2.045110378,13.28423815,-0.52047151,-12.73408648,6.058514997,-7.749651281,12.33300467,4.435655639,1.29714389,-8.074777678,4.266329323,13.41791626,-1.321542369,-5.976466854,-6.765916473,-4.043419495,13.86235684,-8.907000185,0.753896002,9.604726511,10.86175395,11.04585577,1.197359536,12.82061278,1.920390603,1.732239222,-9.535759448,-12.96773581,-8.094670483,-10.1590381,-11.51594318,-8.682597774,-10.56585379,13.36199601,12.52815436,-10.64861137,-0.540645536,0.71558663,12.49660301,-4.073104611,-13.36601283,14.57528391,-12.47785302,-7.640372871,-7.364713468,-7.063344084,6.694945806,7.724700707,-13.18044991,0.188181012,-12.60058578,4.292626536,-9.024112317,4.864374094,-4.287629047,-13.56031171,-3.823027053,-14.46894557,9.884289233,1.764440896,-7.05947284,14.7868155,1.152265126
0x1FDC7459,0x5018F6F5,0x063BA529,0x6CEC6EBF,0x4AE8C677,0x52B97C35,0x0BC60023,0x21FBF379,0x4BE42CE5,0x5168F4AD,0x63FFDA46,0x4DCBEE78,0x466D1238,0x4A3AD99A,0x5EC018D8,0x18866BB4,0x666E9E93,0x028355E8,0x7C4846D4,0x72DFBC74,0x7B1FF0D8,0x6727862D,0x4BCF4065,0x0D00621B,0x01460A96,0x4ACDFD2F,0x321C71DC,0x10927645,0x3826D1C2,0x1DC00D35,0x26296FFA,0x79BBBBD2,0x03FFC498,0x76735D58,0x5C9576B8,0x30C11576,0x03E46B45,0x6933522F,0x72B109D1,0x4CEDB85D,0x07E5048A,0x1A2A1ECA,0x1CE89CAE,0x35325778,0x1991505E,0x4A76700C,0x61C0684B,0x1135C7F3,0x070BC446,0x2AB2E142,0x1CB81D27,0x12500352,0x3197E180,0x3869694A,0x36189B39,0x1D0DC30A,0x07CEE93D,0x0C91F996,0x0B5A6468,0x14DDB178,0x611492DA,0x33760D61,0x72843B67,0x31A2156C,0x56373F16,0x082E316A,0x35230F53,0x7DEB0985,0x4D104BA2,0x183BEB5A,0x61005B6B,0x3154FF2D,0x11BE1C83,0x0530467C,0x5FB36D7B,0x1110B8A2,0x35ABF23D,0x7AB6BD99,0x68181913,0x64EFB398,0x6FD389D8,0x37730DAC,0x5C5F3B58,0x0303FD50,0x266B3D6D,0x2B726FA0,0x2C2EF4D0,0x04CA189E,0x33484EB7,0x07AE7ADF,0x06EDD01E,0x59DB61E1,0x4C2109DD,0x5F9F0EB4,0x575D251E,0x51EFAC98,0x5D450517,0x55BC90D4,0x3572AF14,0x321CD47E,0x5567D26C,0x7DD66105,0x02DCC2BD,0x31FC857F,0x6FB52411,0x4A8933EF,0x3A4D1739,0x4E16ADB3,0x61704219,0x628A888E,0x63BF22BB,0x1AC79FDF,0x1EE617F1,0x4B473824,0x00C0B285,0x4D99000B,0x112BA64A,0x5BE74F1A,0x13751E7B,0x6ED977C6,0x49C23DA6,0x70B53866,0x461FCCBC,0x2789831D,0x070EC998,0x63C3198E,0x3B25B2F6,0x049BEB63
10.13783304,-3.525989716,10.59560575,-8.213241495,-3.231705056,-10.28861682,8.604122327,-2.657766982,-4.4104982,-10.57954784,-1.578286502,-14.23271669,9.970848107,10.98097959,8.443619384,8.888495756,-1.254496684,-14.69855817,8.043273275,8.340661711,-6.904220785,-10.39381952,-14.19461273,11.40742647,0.507786666,11.94495373,-5.685632236,13.3917178,10.07207906,-6.505738921,-9.656197228,-4.895865377,-14.88470518,6.201381166,9.104426546,10.95175037,-2.490632007,-14.60990393,11.82071409,-4.426670084,-5.042552995,10.38743023,-6.936082749,-8.481624311,4.395746566,-7.063060277,5.296107349,14.70608804,14.95422169,10.55803841,-6.386438407,5.36217157,12.20558927,12.81450623,10.33724663,-8.475295425,7.199045338,-3.078184337,6.083269114,3.482225775,8.33439803,7.181393159,9.494628746,-6.13212054,-14.57874416,2.570413455,2.49859619,-10.43940612,0.558709792,-3.799129624,13.20075725,-7.95810789,1.139511105,9.331230375,-7.206460996,-12.2847244,13.66258919,-1.558077363,-10.23489645,-11.65764538,9.068065515,-5.300488591,-9.905984434,6.667496668,-14.50322966,-7.064685564,9.527392692,-10.31707374,-12.10490202,10.40224686,-5.273967744,-1.806772651,-8.038890747,-12.87640834,-14.98131616,-2.825142358,-12.2903333,4.070347271,-1.829134414,-7.310664596,3.017454779,7.246483236,6.96273859,2.850553407,9.530768868,0.619948912,6.489907148,14.96689139,9.220045378,9.871054068,-3.906825147,-1.794957106,-8.083848598,-5.558024337,8.658536245,11.26823341,-4.753264677,-11.59544233,-11.83006309,9.253540541,9.380435268,-3.713677912,-12.64033494,-1.607348574,14.01241735,4.255087666,-12.8269563,-8.23390618
0x288D241A,0x71E562F4,0x2A61E679,0x5F25A406,0x7312BBE9,0x56D874D5,0x226A9F0B,0x755E7256,0x6E5BA65D,0x55AE8B04,0x79AFD5AA,0x4711B2B8,0x27E22601,0x2BEC85E9,0x21C64428,0x238DD1D4,0x7AFB6539,0x4534AD2B,0x202C4FD4,0x215CD66C,0x646213F3,0x566CBA94,0x4738B771,0x2DA13467,0x0207F93A,0x2FC7A1F3,0x6941E9A0,0x35911E78,0x2849CF17,0x65FA1F94,0x59600DD6,0x6C6AA245,0x44760FD9,0x18CE36DD,0x246AEECA,0x2BCE97A6,0x760997C4,0x458F7558,0x2F486945,0x6E4B1700,0x6BD46CFD,0x298CBA82,0x64417387,0x5E12D114,0x11953E96,0x63BF6D21,0x152F36C3,0x3AD308BE,0x3BD11F7D,0x2A3B6E6B,0x6674497E,0x1572DD1A,0x30D285FE,0x33420DEB,0x2959572E,0x5E194C28,0x1CCBD28A,0x73AFF072,0x1855447F,0x0DEDCC97,0x21566C6F,0x1CB9BF20,0x25FA7FF5,0x6778B565,0x45AF5DB2,0x0A481A76,0x09FE8FFF,0x563E0C53,0x023C1E6B,0x70CDB0F7,0x34CD934F,0x602AE5C4,0x048EDBFF,0x25532E0E,0x632C957E,0x4EDC7136,0x36A67DC7,0x79C4875F,0x570F774F,0x515E9236,0x2445B2F7,0x6ACC4CB9,0x5860459E,0x1AAB843F,0x45FCB15E,0x63BDC312,0x261C0CD4,0x56BB5106,0x4F949491,0x299BE699,0x6AE77500,0x78C5DD64,0x5FD82D07,0x4C7E8ED0,0x441321DC,0x74B30DE2,0x4ED6B2DE,0x1048091D,0x78AEF764,0x62C1E124,0x0C11DFAA,0x1CFC6619,0x1BD9D825,0x0B66F778,0x261F81DF,0x027AD3E3,0x19F5AA38,0x3BDE18C6,0x24E15393,0x277BF599,0x705F693B,0x78D1F6C4,0x5FAA2398,0x69C49545,0x22A25753,0x2D12ABC7,0x6CFCA830,0x519E445E,0x50AE03F1,0x2503A021,0x258590D2,0x7125319F,0x4D704C0A,0x79921338,0x380CB722,0x110535B3,0x4CB1325E,0x5F107AE6
-10.50552928,13.97499229,-2.997604785,3.415327784,1.157948092,6.082462107,12.27196194,-3.873705586,-13.94320453,6.504406459,-3.641303978,1.729949792,-2.664232591,-9.588377184,6.367324127,6.921628924,9.394478244,-12.88479168,0.388955359,-3.804726684,12.58754315,-11.41439208,-4.608056366,-11.3632481,-10.8260317,8.976287381,7.098690609,13.81577793,1.283420324,-1.674731006,1.231543001,-1.31307185,-2.597892347,6.385278943,9.790585186,13.61862165,3.374163325,-11.10317073,2.046654337,-3.454991234,-8.281950953,-1.371557878,-7.356568181,-9.572465035,-7.358457487,1.80828415,2.709677181,13.897277,-5.701368599,-7.508350564,-4.81016894,-5.476257399,3.09255042,-10.61011477,12.15500584,12.46069843,-3.246889829,-9.548115217,8.78172252,7.078309745,-7.529299038,3.298807145,-11.28806073,-12.5220911,4.217006399,-4.13339874,-7.521980137,10.25507348,-3.48719878,10.52250695,13.85495455,-2.432333548,3.08463587,-4.17832457,11.46665427,13.83972504,10.89472582,5.720763087,12.63068971,-6.010163202,-14.90884947,3.780559512,-9.797007748,8.564066083,-6.729514471,11.35646832,3.799614007,13.94963714,8.399211237,-3.18334432,8.463478522,4.182356377,-11.17891498,-5.618014911,14.75438776,-3.997757186,-12.06407314,-14.691068,-14.50431387,-7.828893433,-14.28831346,-10.73448057,-5.85965113,5.851314442,-6.942888619,-7.243046975,4.634995562,3.116172733,3.672800454,-7.714444179,-8.388720794,-6.784581255,-8.219200444,11.09568701,-12.93331608,7.131530423,-0.075157548,2.995475995,2.90863696,12.14329947,13.91399311,-0.943201658,-5.91395084,6.978455986,-5.614408652,1.509273502,-4.214483548,0.386764734
